hypothesis_id	hypothesis_name	dimension	source_id	cycle_pf	delta_pf	total_pnl_ticks	delta_pnl	n_cycles	win_rate	sharpe	max_drawdown_ticks	avg_winner_ticks	avg_loser_ticks	beats_baseline	feature_compute_sec	simulator_sec	total_sec	classification
H26	Session range position	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0324	8.3229	8.3553	OK
H26	Session range position	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0333	7.7265	7.7598	OK
H26	Session range position	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1102	7.8497	7.9599	OK
H18	Directional asymmetry	E	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0259	8.6554	8.6813	OK
H18	Directional asymmetry	E	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0251	8.188	8.2132	OK
H18	Directional asymmetry	E	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.0685	8.3274	8.3959	OK
H19	Bar-type divergence signal	E	bar_data_250vol_rot												0.0	0.0	0.0	SKIPPED_REFERENCE_REQUIRED
H19	Bar-type divergence signal	E	bar_data_250tick_rot												0.0	0.0	0.0	SKIPPED_REFERENCE_REQUIRED
H19	Bar-type divergence signal	E	bar_data_10sec_rot												0.0	0.0	0.0	SKIPPED_REFERENCE_REQUIRED
H27	Volatility rate of change	F	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0326	8.1452	8.1778	OK
H27	Volatility rate of change	F	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0336	7.6755	7.7092	OK
H27	Volatility rate of change	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1023	7.909	8.0113	OK
H28	Price momentum / ROC	F	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0352	8.258	8.2932	OK
H28	Price momentum / ROC	F	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0333	7.7237	7.7571	OK
H28	Price momentum / ROC	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1041	7.813	7.9171	OK
H29	Acceleration / deceleration	F	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0366	8.2218	8.2585	OK
H29	Acceleration / deceleration	F	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0344	7.8347	7.8692	OK
H29	Acceleration / deceleration	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1069	7.8039	7.9108	OK
H30	Volatility compression breakout	F	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0407	8.1752	8.2159	OK
H30	Volatility compression breakout	F	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0389	7.7431	7.782	OK
H30	Volatility compression breakout	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1272	7.854	7.9813	OK
H31	Momentum divergence from price	F	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0349	8.213	8.2479	OK
H31	Momentum divergence from price	F	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0348	7.6232	7.6581	OK
H31	Momentum divergence from price	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.11	7.8614	7.9714	OK
H32	Volume rate of change	F	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0353	8.1393	8.1746	OK
H32	Volume rate of change	F	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0333	7.655	7.6884	OK
H32	Volume rate of change	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1093	7.8796	7.9889	OK
H38	Regime transition speed	F	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	5.3488	10.7695	16.1183	OK
H38	Regime transition speed	F	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	4.913	10.0945	15.0076	OK
H38	Regime transition speed	F	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	18.4612	10.6513	29.1125	OK
