config_id,approach,step_dist,add_dist,confirm_dist,max_adds,add_size,cycle_count,win_count,loss_count,win_rate,gross_pnl,net_pnl,total_costs,npf_gross,npf_net,avg_win_net,avg_loss_net,max_drawdown_ticks,profit_per_dd,max_position,avg_cycle_duration_bars,cycles_0_adds,cycles_1_add,cycles_multi_add,pnl_0_adds,pnl_1_add,pnl_multi_add,flatten_reseed_would_fire,incomplete_cycles,incomplete_unrealized_pnl
B_SD35_AD14.0_MA4,B,35.0,14.0,0.0,4,1,730,730,0,1.0,132270.0,124366.0,7904.0,999.0,999.0,170.3644,0.0,0.0,999.0,5,16740.37,242,140,348,32942.0,30287.0,61137.0,245,59,-145912.0
B_SD35_AD17.5_MA1,B,35.0,17.5,0.0,1,1,325,325,0,1.0,59777.0,57669.0,2108.0,999.0,999.0,177.4431,0.0,0.0,999.0,2,30899.42,123,202,0,16809.0,40860.0,0.0,86,59,-67514.0
B_SD35_AD17.5_MA2,B,35.0,17.5,0.0,2,1,465,465,0,1.0,86202.0,82394.0,3808.0,999.0,999.0,177.1914,0.0,0.0,999.0,3,25054.0,166,111,188,22613.0,22460.0,37321.0,121,59,-96177.0
B_SD35_AD17.5_MA3,B,35.0,17.5,0.0,3,1,644,644,0,1.0,106091.0,100083.0,6008.0,999.0,999.0,155.4084,0.0,0.0,999.0,4,20713.6,238,133,273,32422.0,26910.0,40751.0,179,59,-108119.0
B_SD35_AD17.5_MA4,B,35.0,17.5,0.0,4,1,807,665,142,0.8240396530359355,112385.0,104157.0,8228.0,846.0,36.0343,161.0977,-20.9366,70.0,1487.9571,5,18747.26,291,164,352,39647.0,33165.0,31345.0,239,59,-118593.0
B_SD35_AD35.0_MA1,B,35.0,35.0,0.0,1,1,428,428,0,1.0,60006.0,57546.0,2460.0,999.0,999.0,134.4533,0.0,0.0,999.0,2,26870.0,241,187,0,32829.0,24717.0,0.0,42,59,-64503.0
B_SD35_AD35.0_MA2,B,35.0,35.0,0.0,2,1,594,468,126,0.7878787878787878,65656.0,61632.0,4024.0,1874.8857,42.7278,134.8483,-11.7222,39.0,1580.3077,3,23596.63,308,160,126,41955.0,21154.0,-1477.0,49,59,-75039.0
B_SD35_AD35.0_MA3,B,35.0,35.0,0.0,3,1,782,596,186,0.7621483375959079,62087.0,56371.0,5716.0,3.8831,3.3415,134.9765,-129.4355,1668.0,33.7956,4,21926.46,398,198,186,54220.0,26226.0,-24075.0,77,59,-70339.0
B_SD35_AD35.0_MA4,B,35.0,35.0,0.0,4,1,924,693,231,0.75,46908.0,39832.0,7076.0,1.9313,1.7409,135.0519,-232.7229,3535.0,11.2679,5,21148.7,464,229,231,63228.0,30363.0,-53759.0,102,59,-57641.0
B_SD40_AD16.0_MA1,B,40.0,16.0,0.0,1,1,290,290,0,1.0,65393.0,63445.0,1948.0,999.0,999.0,218.7759,0.0,0.0,999.0,2,36639.33,93,197,0,14524.0,48921.0,0.0,88,59,-64962.0
