trade_id,mode,datetime,direction,touch_type,source_label,zone_top,zone_bot,zone_width_ticks,entry_type,entry_price,stop_ticks,t1_ticks,t2_ticks,stop_price,t1_target_price,t2_target_price,leg1_exit_type,leg1_pnl_ticks,leg2_exit_type,leg2_pnl_ticks,weighted_pnl,bars_held,mfe_ticks,mae_ticks
ZB_0034,WTNT,1/22/2026 12:08:26,SHORT,SUPPLY_EDGE,90m,25739.75,25691.25,194.0,MARKET,25688.50,291,97,194,25761.25,25664.25,25640.00,TARGET_1,97.00,TIMECAP,-103.00,28.0000,160,127.00,140.00
ZB_0035,CT,1/22/2026 13:17:50,SHORT,SUPPLY_EDGE,90m,25739.75,25691.25,194.0,LIMIT_5T,25692.50,291,97,194,25765.25,25668.25,25644.00,TARGET_1,97.00,TIMECAP,40.00,75.1900,160,102.00,91.00
ZB_0036,CT,1/28/2026 07:54:59,SHORT,SUPPLY_EDGE,30m,26326.75,26299.25,110.0,LIMIT_5T,26300.50,165,55,110,26341.75,26286.75,26273.00,TARGET_1,55.00,TARGET_2,110.00,70.1500,12,117.00,22.00
ZB_0037,CT,1/29/2026 06:58:30,SHORT,SUPPLY_EDGE,30m,26237.00,26204.75,129.0,LIMIT_5T,26206.00,194,64,129,26254.50,26190.00,26173.75,TARGET_1,64.00,TARGET_2,129.00,82.4500,16,158.00,63.00
ZB_0038,CT,1/29/2026 18:33:51,SHORT,SUPPLY_EDGE,60m,26050.00,25982.00,272.0,LIMIT_5T,25990.00,408,136,272,26092.00,25956.00,25922.00,TARGET_1,136.00,TARGET_2,272.00,177.8800,29,296.00,120.00
ZB_0039,WTNT,1/29/2026 19:33:20,SHORT,SUPPLY_EDGE,60m,26050.00,25982.00,272.0,MARKET,25971.50,408,136,272,26073.50,25937.50,25903.50,TARGET_1,136.00,TARGET_2,272.00,177.8800,21,303.00,89.00
ZB_0040,WTNT,1/30/2026 10:46:43,SHORT,SUPPLY_EDGE,15m,25948.50,25922.50,104.0,MARKET,25919.00,156,52,104,25958.00,25906.00,25893.00,TARGET_1,52.00,TARGET_2,104.00,66.1600,21,119.00,60.00
ZB_0041,WTNT,1/30/2026 13:58:59,SHORT,SUPPLY_EDGE,30m,25795.75,25758.25,150.0,MARKET,25755.50,225,75,150,25811.75,25736.75,25718.00,TARGET_1,75.00,TARGET_2,150.00,96.7500,133,162.00,104.00
ZB_0042,CT,1/30/2026 15:59:10,SHORT,SUPPLY_EDGE,60m,25781.50,25671.50,440.0,LIMIT_5T,25672.75,660,220,440,25837.75,25617.75,25562.75,TARGET_1,220.00,TARGET_2,440.00,289.6000,126,571.00,137.00
ZB_0043,CT,2/3/2026 14:25:50,LONG,DEMAND_EDGE,15m,25289.50,25219.00,282.0,LIMIT_5T,25288.25,423,141,282,25182.50,25323.50,25358.75,TARGET_1,141.00,TIMECAP,38.00,104.0100,160,163.00,215.00
