index,cycle,cpp_event,cpp_side,cpp_price,cpp_posqty,cpp_pnl,py_event,py_side,py_price,py_posqty,py_pnl,match,mismatch_detail
124,40,REVERSAL_ENTRY,SHORT,24345.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24343.25,1.0,0.0,TOLERANCE,
125,40,REVERSAL,SHORT,24320.25,-1.0,100.0,REVERSAL,SHORT,24318.0,-1.0,101.0,TOLERANCE,
126,41,REVERSAL_ENTRY,LONG,24320.25,1.0,0.0,REVERSAL_ENTRY,LONG,24318.0,1.0,0.0,TOLERANCE,
127,41,ADD,LONG,24295.0,2.0,0.0,ADD,LONG,24292.75,2.0,0.0,TOLERANCE,
128,41,ADD,LONG,24268.75,3.0,0.0,ADD,LONG,24267.5,3.0,0.0,TOLERANCE,
129,41,ADD,LONG,24243.5,4.0,0.0,ADD,LONG,24242.25,4.0,0.0,TOLERANCE,
130,41,REVERSAL,LONG,24268.5,4.0,-55.7,REVERSAL,LONG,24267.5,4.0,-50.5,TOLERANCE,
131,42,REVERSAL_ENTRY,SHORT,24268.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24267.5,1.0,0.0,TOLERANCE,
132,42,ADD,SHORT,24293.5,-2.0,0.0,ADD,SHORT,24292.75,-2.0,0.0,TOLERANCE,
133,42,REVERSAL,SHORT,24268.25,-2.0,47.5,REVERSAL,SHORT,24267.0,-2.0,52.5,TOLERANCE,
134,43,REVERSAL_ENTRY,LONG,24268.25,1.0,0.0,REVERSAL_ENTRY,LONG,24267.0,1.0,0.0,TOLERANCE,
135,43,ADD,LONG,24243.25,2.0,0.0,REVERSAL,LONG,24292.5,1.0,102.0,MISMATCH,event:ADD!=REVERSAL; posqty:2!=1
136,43,REVERSAL,LONG,24269.5,2.0,52.5,MISSING,,,,,MISSING,
137,44,REVERSAL_ENTRY,SHORT,24269.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24292.5,1.0,0.0,PRICE_OFFSET,price_delta=23.00
138,44,REVERSAL,SHORT,24244.5,-1.0,95.0,REVERSAL,SHORT,24267.25,-1.0,101.0,PRICE_OFFSET,price_delta=22.75
139,45,REVERSAL_ENTRY,LONG,24244.5,1.0,0.0,REVERSAL_ENTRY,LONG,24267.25,1.0,0.0,PRICE_OFFSET,price_delta=22.75
140,45,ADD,LONG,24219.0,2.0,0.0,ADD,LONG,24242.0,2.0,0.0,PRICE_OFFSET,price_delta=23.00
141,45,ADD,LONG,24193.0,3.0,0.0,REVERSAL,LONG,24267.5,2.0,51.5,MISMATCH,event:ADD!=REVERSAL; posqty:3!=2
142,45,ADD,LONG,24168.0,4.0,0.0,MISSING,,,,,MISSING,
143,45,REVERSAL,LONG,24193.0,4.0,-56.0,MISSING,,,,,MISSING,
144,46,REVERSAL_ENTRY,SHORT,24193.0,1.0,0.0,REVERSAL_ENTRY,SHORT,24267.5,1.0,0.0,PRICE_OFFSET,price_delta=74.50
145,46,REVERSAL,SHORT,24165.0,-1.0,111.0,REVERSAL,SHORT,24242.25,-1.0,101.0,PRICE_OFFSET,price_delta=77.25
146,47,REVERSAL_ENTRY,LONG,24168.0,1.0,0.0,REVERSAL_ENTRY,LONG,24242.25,1.0,0.0,PRICE_OFFSET,price_delta=74.25
147,47,REVERSAL,LONG,24193.0,1.0,96.0,ADD,LONG,24217.0,2.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:1!=2
148,47,MISSING,,,,,ADD,LONG,24191.75,3.0,0.0,MISSING,
149,47,MISSING,,,,,ADD,LONG,24166.5,4.0,0.0,MISSING,
150,47,MISSING,,,,,REVERSAL,LONG,24191.75,4.0,-50.5,MISSING,
